Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единицы измерения
5.3-3201-2-3/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, карусель 4-х местная с деревянными сидениями (площадь металла 5,3 м2, площадь дерева 0,48 м2)",шт.,1,Ремонт игрового элемента карусель в рамках благоустройства территории,91740339.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-4/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, карусель 4-х местная с пластиковыми сидениями",шт.,1,Ремонт игрового элемента карусель в рамках благоустройства территории,91740339.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-5/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, качели маятниковые высотой 2,0 м металлические с жесткой подвеской (площадь дерева 0,12 м2, площадь металла 2,2 м2)",шт.,1,Ремонт игрового элемента качели в рамках благоустройства территории,91740343.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-6/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, качели на деревянных стойках высотой 2,1 м с гибкой подвеской (площадь дерева 3,84 м2, площадь металла 0,65 м2)",шт.,1,Ремонт игрового элемента качели в рамках благоустройства территории,91740343.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-7/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, качалка переносная (площадь дерева 1,08 м2, площадь металла 0,52 м2)",шт.,1,Ремонт игрового элемента качели в рамках благоустройства территории,91740343.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-8/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, качалка на пружине (площадь дерева 1 м2, площадь металла 0,15 м2)",шт.,1,Ремонт игрового элемента качели в рамках благоустройства территории,91740343.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-9/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, качалка балансир (площадь дерева 0,24 м2, площадь металла 2,15 м2)",шт.,1,Ремонт игрового элемента качели в рамках благоустройства территории,91740343.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-10/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, качалка на пружине 2-ух местная (площадь дерева 1 м2, площадь металла 0,15 м2)",шт.,1,Ремонт игрового элемента качели в рамках благоустройства территории,91740343.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-11/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, песочница 1,8х1,8 (площадь дерева 3,24 м2)",шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-12/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, песочница с грибком (площадь дерева 10,9 м2)",шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-13/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, ""Паровозик из Ромашково"" (площадь дерева 21 м2)",шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-14/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, домик-беседка (площадь дерева 9,5 м2)",шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-15/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, лиана 3-х секционная (площадь металла 2,5 м2)",шт.,1,Ремонт игрового элемента «Веревочный городок» в рамках благоустройства территории,91740332.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-16/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, гимнастические брусья (площадь дерева 1,63 м2, площадь металла 0,79 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-17/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, бум (площадь дерева 2,8 м2, площадь металла 0,3 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-18/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, бревно (площадь дерева 1,2 м2, площадь металла 0,3 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-19/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, рукоход (площадь металла 1,94 м2)",шт.,1,Ремонт спортивного элемента рукоход в рамках благоустройства территории,91741630.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-20/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, турник высотой 2,7 м (площадь металла 3,15 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-21/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, шведская стенка высотой 2,2 м (площадь металла 2,34 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-22/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, шведская стенка деревянная высотой 2,5 м (площадь дерева 2,34 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-23/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, баскетбольные стойки с 2-мя щитами (площадь металла 0,94 м2, площадь дерева 4,32 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-24/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, волейбольные стойки (площадь металла 1,9 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-25/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, стол для настольного тенниса (площадь дерева 4,32 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-26/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, хоккейные ворота (площадь металла 1,6 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-2-27/1,"Содержание отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, футбольные ворота (площадь металла 3,3 м2)",шт.,1,Ремонт спортивного оборудования в рамках благоустройства территорий объектов спорта,60046436.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-5-1/1,"Ремонт контейнера металлического на колесах объемом 0,8 м3",шт.,1,Ремонт дополнительного контейнера – сетки для раздельного сбора отходов в рамках благоустройства территории,91742381.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-6-3/1,"Ремонт пластмассовых малых архитектурных форм: замена фигур ""Лошадь""",шт.,1,Ремонт игрового элемента «лошадь» в рамках благоустройства территории,91742418.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-6-3/2,"Ремонт пластмассовых малых архитектурных форм: замена фигур ""Пеликан""",шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-3/3,"Ремонт пластмассовых малых архитектурных форм: замена фигур ""Слон""",шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-3/4,"Ремонт пластмассовых малых архитектурных форм: замена фигур ""Вак-Вак""",шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-3/5,"Ремонт пластмассовых малых архитектурных форм: замена фигур ""Микки""",шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-4/1,Ремонт пластмассовых малых архитектурных форм: замена хомута ПВД,шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-5/1,Ремонт пластмассовых малых архитектурных форм: замена цепи качелей,шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-6/1,Ремонт пластмассовых малых архитектурных форм: замена быстрого спуска,шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-7/1,Ремонт пластмассовых малых архитектурных форм: замена заглушки,шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-8/1,Ремонт пластмассовых малых архитектурных форм: замена трубы на СП-002,шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-9/1,Ремонт пластмассовых малых архитектурных форм: замена качающейся части четырехместной (С–007-4),шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-10/1,"Ремонт пластмассовых малых архитектурных форм: замена сидения (С-007- 4, В-004 и др.)",шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-11/1,Ремонт пластмассовых малых архитектурных форм: замена горки прямой малой,шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-12/1,Ремонт пластмассовых малых архитектурных форм: замена горки спиральной,шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-6-13/1,Ремонт пластмассовых малых архитектурных форм: замена горки труба малая,шт.,1,Ремонт детского игрового оборудования в рамках благоустройства территорий объектов спорта,60046431.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Комплект
5.3-3201-7-1/1,Установка и крепление новых брусков при ремонте скамеек - при креплении болтами по 2 болта на 1 брусок,шт.,1,Ремонт лавки в рамках благоустройства территории,91740364.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-7-2/1,"Установка и крепление новых брусков при ремонте скамеек - при крепление болтами, добавлять на каждый дополнительный болт на брусок сверх двух к поз. 3-3201-7-1",шт.,1,сопутствующаяя работа к 5.3-3201-7-1/1,,,
5.3-3201-7-3/1,Установка и крепление новых брусков при ремонте скамеек - при креплении шурупами-саморезами по 2 шурупа на 1 брусок,шт.,1,Ремонт лавки в рамках благоустройства территории,91740364.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-7-4/1,"Установка и крепление новых брусков при ремонте скамеек - при креплении шурупами-саморезами, добавлять на каждый шуруп сверх двух на брусок",10 шт.,1,Ремонт лавки в рамках благоустройства территории,91740364.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-8-1/1,Локальный ремонт креплений спортивных и заградительных сеток - навешивание верхнего края сетки на крючки секции ограждения длиной 5 м,секция,1,Ремонт дополнительного контейнера – сетки для раздельного сбора отходов в рамках благоустройства территории,91742381.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-8-2/1,Локальный ремонт креплений спортивных и заградительных сеток - закрепление нижнего края сетки шнуром к секции ограждения длиной 5 м,секция,1,Ремонт дополнительного контейнера – сетки для раздельного сбора отходов в рамках благоустройства территории,91742381.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3202-1-1/1,Смена железобетонных стоек сборных железобетонных оград без выравнивания башмаков.,шт.,1,Ремонт железобетонной ограды при благоустройстве парков,46323914.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Метр
5.3-3202-2-1/1,Ремонт металлических конструкций спортивных площадок: замена металлической секции ограждения,шт.,1,Ремонт ограждения площадок в рамках благоустройства территорий объектов спорта,60046423.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Погонный метр
5.3-3202-2-2/1,Ремонт металлических конструкций спортивных площадок: замена навесов калитки ограждения,шт.,1,Ремонт навеса в рамках благоустройства территории,91743571.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3202-3-1/1,Смена отдельных участков металлического ограждения газонов из труб диаметром до 25 мм,м,1,Замена ограждения газонов в рамках благоустройства территорий объектов спорта,60046183.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Погонный метр
5.3-3202-3-2/1,Смена отдельных участков металлического ограждения газонов из труб диаметром до 40 мм,м,1,Замена ограждения газонов в рамках благоустройства территорий объектов спорта,60046183.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Погонный метр
5.3-3203-1-1/1,Устройство деревянных заборов глухих из строганных досок,100 м2,1,Демонтаж забора в рамках благоустройства территории,91743682.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-1-2/1,Устройство деревянных заборов инвентарных из готовых звеньев,100 м2,1,Демонтаж забора в рамках благоустройства территории,91743682.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-1-3/1,Устройство временных деревянных заборов из готовых элементов с тротуаром и козырьком,100 м2,1,Демонтаж забора в рамках благоустройства территории,91743682.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3203-2-1/1,"Изготовление и установка секций металлического ограждения, калиток, ворот из профилированной трубы, масса секции до 150 кг",м2,1,Замена ограждения в рамках благоустройства территории,91740075.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука"
