,kpgz_code,kpgz_name,template_name
27,01.02.10.43.27,10% НЕЙТРАЛЬНЫЙ БУФЕРНЫЙ РАСТВОР ФОРМАЛИНА (ЦИНКОВЫЙ) ИВД,10% НЕЙТРАЛЬНЫЙ БУФЕРНЫЙ РАСТВОР ФОРМАЛИНА (ЦИНКОВЫЙ) ИВД
28,01.02.10.43.28,10% НЕЙТРАЛЬНЫЙ БУФЕРНЫЙ РАСТВОР ФОРМАЛИНА ИВД,10% НЕЙТРАЛЬНЫЙ БУФЕРНЫЙ РАСТВОР ФОРМАЛИНА ИВД
33,01.02.10.43.29,10% НЕЙТРАЛЬНЫЙ ФОРМАЛИН ИВД,10% НЕЙТРАЛЬНЫЙ ФОРМАЛИН ИВД
37,01.02.10.43.25.03,"17-ГИДРОКСИПРОГЕСТЕРОН ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","17-ГИДРОКСИПРОГЕСТЕРОН ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
39,01.02.10.43.25.04,"17-ГИДРОКСИПРОГЕСТЕРОН ИВД, НАБОР, ИММУНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ","17-ГИДРОКСИПРОГЕСТЕРОН ИВД, НАБОР, ИММУНОФЛУОРЕСЦЕНТНЫЙ АНАЛИЗ"
43,01.02.10.43.25.01,"17-ГИДРОКСИПРОГЕСТЕРОН ИВД, НАБОР, РАДИОИММУННЫЙ АНАЛИЗ (РИА).","17-ГИДРОКСИПРОГЕСТЕРОН ИВД, НАБОР, РАДИОИММУННЫЙ АНАЛИЗ (РИА)."
46,01.02.10.43.25.02,"17-ГИДРОКСИПРОГЕСТЕРОН ИВД, РЕАГЕНТ.","17-ГИДРОКСИПРОГЕСТЕРОН ИВД, РЕАГЕНТ."
48,01.02.10.43.30.01,"17-КЕТОСТЕРОИД ИВД, РЕАГЕНТ","17-КЕТОСТЕРОИД ИВД, РЕАГЕНТ"
49,01.02.10.43.01.01.08,"РЕАГЕНТЫ ДЛЯ АНАЛИЗАТОРОВ ИММУНОХИМИЧЕСКИХ ""ABBOTT ARCHITECT"", ПРОИЗВОДСТВА ""ABBOTT LABORATORIES""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
51,01.26.02.04.01.42,"2,2-ДИМЕТИЛБУТАН (РЕАКТИВ)",ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
56,01.02.10.43.32.01,"2-ЭТИЛИДИН-1,5-ДИМЕТИЛ-3,3-ДИФЕНИЛПИРРОЛИДИН ИВД, РЕАГЕНТ","2-ЭТИЛИДИН-1,5-ДИМЕТИЛ-3,3-ДИФЕНИЛПИРРОЛИДИН ИВД, РЕАГЕНТ"
61,01.26.02.04.03.47,2-ЭТИЛФЕНХОЛ (РЕАКТИВ),ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
62,01.02.10.48.19.60,"РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ СИСТЕМЫ КЛИНИЧЕСКИХ ИССЛЕДОВАНИЙ ""SOLAR"" ПРОИЗВОДСТВА ""MEDICAL MEASUREMENT SYSTEMS B.V.""","РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ СИСТЕМЫ КЛИНИЧЕСКИХ ИССЛЕДОВАНИЙ ""SOLAR"" ПРОИЗВОДСТВА ""MEDICAL MEASUREMENT SYSTEMS B.V."""
64,01.02.10.43.26.01,"25-ГИДРОКСИ-ВИТАМИН D2 ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
65,01.02.10.43.26.05,"25-ГИДРОКСИ-ВИТАМИН D2 ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ (ОТКРЫТЫЕ СИСТЕМЫ)","25-ГИДРОКСИ-ВИТАМИН D2 ИВД, КОНТРОЛЬНЫЙ МАТЕРИАЛ (ОТКРЫТЫЕ СИСТЕМЫ)"
69,01.02.10.43.26.04,"25-ГИДРОКСИ-ВИТАМИН D3 ИВД, КАЛИБРАТОР (ОТКРЫТЫЕ СИСТЕМЫ)","25-ГИДРОКСИ-ВИТАМИН D3 ИВД, КАЛИБРАТОР (ОТКРЫТЫЕ СИСТЕМЫ)"
75,01.02.10.43.26.02,"25-ГИДРОКСИ-ВИТАМИН D3 ИВД, КАЛИБРАТОР",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
77,01.02.10.43.26.03,"25-ГИДРОКСИ-ВИТАМИН D3 ИВД, РЕАГЕНТ","25-ГИДРОКСИ-ВИТАМИН D3 ИВД, РЕАГЕНТ"
79,01.02.10.43.21.02,ОРГАНИЧЕСКИЕ СОЕДИНЕНИЯ ДЛЯ ЛАБОРАТОРНОЙ ДИАГНОСТИКИ,ОРГАНИЧЕСКИЕ СОЕДИНЕНИЯ ДЛЯ ЛАБОРАТОРНОЙ ДИАГНОСТИКИ
80,01.02.09.04.11,"ПРОЧИЕ ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ КОЖИ,D11",ПОСТАВКА ЛЕКАРСТВЕННЫХ СРЕДСТВ
81,01.02.10.43.06.09,"РЕАГЕНТЫ ДЛЯ ОПРЕДЕЛЕНИЯ ФАКТОРОВ В РАМКАХ ВЫПОЛНЕНИЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ РАБОТ, ЗАПЛАНИРОВАННЫХ ПО НАУЧНЫМ ТЕМАМ","РЕАГЕНТЫ ДЛЯ ОПРЕДЕЛЕНИЯ ФАКТОРОВ В РАМКАХ ВЫПОЛНЕНИЯ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИХ РАБОТ, ЗАПЛАНИРОВАННЫХ ПО НАУЧНЫМ ТЕМАМ"
82,01.26.02.04.03.46,3-МЕТИЛИНДОЛ (РЕАКТИВ),ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
83,01.02.10.43.01.86.01,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ БИОХИМИЧЕСКИХ АВТОМАТИЗИРОВАННЫХ СЕРИИ ""AU (400, 480, 640, 680, 2700, 5400)"", ПРОИЗВОДСТВА ""BECKMAN COULTER""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
85,01.06.99.08,"ФРОНТАЛЬНОЕ ОБОРУДОВАНИЕ, ЗАКУПАЕМОЕ В РАМКАХ ПРОЕКТА «ТЕХНОСФЕРА СОВРЕМЕННОЙ ШКОЛЫ»",ПОСТАВКА ФРОНТАЛЬНОГО ОБОРУДОВАНИЯ В РАМКАХ ПРОЕКТА  «ТЕХНОСФЕРА СОВРЕМЕННОЙ ШКОЛЫ»
90,01.05.02.01.42,3D-БИОПРИНТЕРЫ,3D-БИОПРИНТЕРЫ
91,01.13.04.02.01.06,ПРИНТЕРЫ СПЕЦИАЛИЗИРОВАННЫЕ ДЛЯ ПЕЧАТИ НЕ НА БУМАГЕ,ПОСТАВКА СРЕДСТВ ВЫЧИСЛИТЕЛЬНОЙ ТЕХНИКИ
92,01.13.04.02.01.10.01,ПРИНТЕР 3D FDM,ПОСТАВКА СРЕДСТВ ВЫЧИСЛИТЕЛЬНОЙ ТЕХНИКИ
93,01.13.04.03.06.02,СКАНЕРЫ 3D РУЧНЫЕ,ПОСТАВКА СРЕДСТВ ВЫЧИСЛИТЕЛЬНОЙ ТЕХНИКИ
94,01.13.04.03.06.01,3D-СКАНЕРЫ СТАЦИОНАРНЫЕ,ПОСТАВКА СРЕДСТВ ВЫЧИСЛИТЕЛЬНОЙ ТЕХНИКИ
98,01.02.09.03.01,"ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ СЕРДЦА, C01",ПОСТАВКА ЛЕКАРСТВЕННЫХ СРЕДСТВ
101,01.02.10.43.34.01,"5-НУКЛЕОТИДАЗА ИВД, НАБОР, ФЕРМЕНТНЫЙ СПЕКТРОФОТОМЕТРИЧЕСКИЙ АНАЛИЗ","5-НУКЛЕОТИДАЗА ИВД, НАБОР, ФЕРМЕНТНЫЙ СПЕКТРОФОТОМЕТРИЧЕСКИЙ АНАЛИЗ"
105,01.02.10.43.33.01,"5-ГИДРОКСИИНДОЛИЛУКСУСНАЯ КИСЛОТА ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","5-ГИДРОКСИИНДОЛИЛУКСУСНАЯ КИСЛОТА ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
106,01.02.09.03.05,"АНГИОПРОТЕКТОРЫ, C05",ПОСТАВКА ЛЕКАРСТВЕННЫХ СРЕДСТВ
107,01.02.10.43.01.40.06,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ПРОТОЧНЫХ ЦИТОФЛУОРИМЕТРОВ ""FACSCANTO II"", ""FACSCALIBUR"", ПРОИЗВОДСТВА ""BECTON DICKINSON AND COMPANY""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
108,01.02.10.43.01.63,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ПРОТОЧНЫХ ЦИТОФЛУОРИМЕТРОВ ""FACSCANTO II"", ""FACSCALIBUR""","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ПРОТОЧНЫХ ЦИТОФЛУОРИМЕТРОВ ""FACSCANTO II"", ""FACSCALIBUR"""
109,01.02.10.43.05.07,ИЗДЕЛИЯ ДЛЯ МИКРОБИОЛОГИЧЕСКИХ ЛАБОРАТОРИЙ,ИЗДЕЛИЯ ДЛЯ МИКРОБИОЛОГИЧЕСКИХ ЛАБОРАТОРИЙ
110,01.02.10.43.01.62,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ МОЧЕВЫХ СТАНЦИЙ ""AUTION MAX - IQ200"", МОЧЕВЫХ АНАЛИЗАТОРОВ: ""POCKETCHEM"", ""AUTION MAX"", ""AUTION ELEVEN"", ""AUTION HYBRID""","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ МОЧЕВЫХ СТАНЦИЙ ""AUTION MAX - IQ200"", МОЧЕВЫХ АНАЛИЗАТОРОВ: ""POCKETCHEM"", ""AUTION MAX"", ""AUTION ELEVEN"", ""AUTION HYBRID"""
111,01.02.10.43.01.01.01,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""ABBOTT M2000RT"" СО СТАНЦИЕЙ АВТОМАТИЧЕСКОЙ ПРОБОПОДГОТОВКИ ""M2000SP"", ПРОИЗВОДСТВА ""ABBOTT LABORATORIES""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
112,01.02.10.43.01.182.03,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ МОДУЛЬНЫХ СЕРИИ/МОДЕЛИ ""ROCHE COBAS 8000"" (МОДУЛЬ ""C702"" - АНАЛИЗАТОР БИОХИМИЧЕСКИЙ АВТОМАТИЧЕСКИЙ)","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ МОДУЛЬНЫХ СЕРИИ/МОДЕЛИ ""ROCHE COBAS 8000"" (МОДУЛЬ ""C702"" - АНАЛИЗАТОР БИОХИМИЧЕСКИЙ АВТОМАТИЧЕСКИЙ)"
114,01.02.10.33.02,РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ОРТОПЕДИЧЕСКОЙ СТОМАТОЛОГИИ,РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ОРТОПЕДИЧЕСКОЙ СТОМАТОЛОГИИ
115,01.02.10.43.01.119.02,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ РАБОТЫ НА АНАЛИЗАТОРЕ ""QWALYS"", ПРОИЗВОДСТВА ""DIAGAST S.A.S""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
117,01.02.10.43.01.69.01,"РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ К ОБОРУДОВАНИЮ ""AUTOVUE"" И ""BIOVUE"", ПРОИЗВОДСТВА ""ORTHO-CLINICAL DIAGNOSTICS, INC.""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
118,01.02.10.43.646.01,"ABO/RH(D) ОПРЕДЕЛЕНИЕ ГРУПП КРОВИ ИВД, НАБОР, РЕАКЦИЯ АГГЛЮТИНАЦИИ","ABO/RH(D) ОПРЕДЕЛЕНИЕ ГРУПП КРОВИ ИВД, НАБОР, РЕАКЦИЯ АГГЛЮТИНАЦИИ"
125,01.02.10.43.646.03,"ABO/RH(D)/KELL ОПРЕДЕЛЕНИЕ ГРУПП КРОВИ ИВД, НАБОР, РЕАКЦИЯ АГГЛЮТИНАЦИИ","ABO/RH(D)/KELL ОПРЕДЕЛЕНИЕ ГРУПП КРОВИ ИВД, НАБОР, РЕАКЦИЯ АГГЛЮТИНАЦИИ"
127,01.02.10.43.01.200,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ К ОБОРУДОВАНИЮ, ПРОИЗВОДСТВА ""ORGENTEC DIAGNOSTIKA GMBH""","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ К ОБОРУДОВАНИЮ, ПРОИЗВОДСТВА ""ORGENTEC DIAGNOSTIKA GMBH"""
128,01.02.10.43.01.26.01,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""ABI PRISM 3500 XL"" ДЛЯ ОПРЕДЕЛЕНИЯ РЕЗИСТЕНТНОСТИ","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""ABI PRISM 3500 XL"" ДЛЯ ОПРЕДЕЛЕНИЯ РЕЗИСТЕНТНОСТИ"
251,01.02.10.43.01.123.01,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ РАБОТЫ НА АНАЛИЗАТОРЕ ""VITEK"", ПРОИЗВОДСТВА ""BIOMERIEUX SA""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
252,01.02.10.43.01.210.01,"РАСХОДНЫЕ МАТЕРИАЛЫ И РЕАГЕНТЫ ДЛЯ РАБОТЫ НА АНАЛИЗАТОРЕ ""VITEK"", ПРОИЗВОДСТВА ""BIOMERIEUX SA""","РАСХОДНЫЕ МАТЕРИАЛЫ И РЕАГЕНТЫ ДЛЯ РАБОТЫ НА АНАЛИЗАТОРЕ ""VITEK"", ПРОИЗВОДСТВА ""BIOMERIEUX SA"""
265,01.02.10.43.35.01,"ANISAKIS SPP. АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН G (IGG) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","ANISAKIS SPP. АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН G (IGG) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
267,01.02.10.43.01.123.04,"РЕАГЕНТЫ ДЛЯ РАБОТЫ НА АНАЛИЗАТОРАХ ""VIDAS"", ПРОИЗВОДСТВА ""BIOMERIEUX SA""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
268,01.02.10.43.01.55,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ИММУНОХЕМИЛЮМИНИСЦЕНТНЫХ ""COBAS E 601""/""602""","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ИММУНОХЕМИЛЮМИНИСЦЕНТНЫХ ""COBAS E 601""/""602"""
269,01.02.10.43.01.56,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ИММУНОХЕМИЛЮМИНИСЦЕНТНЫХ АВТОМАТИЧЕСКИХ ""COBAS E411""","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ИММУНОХЕМИЛЮМИНИСЦЕНТНЫХ АВТОМАТИЧЕСКИХ ""COBAS E411"""
270,01.02.10.48.19.39,"РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ ОБОРУДОВАНИЯ, ПРОИЗВОДСТВА ""АРТРЕКС, ИНК.""","РАСХОДНЫЕ МАТЕРИАЛЫ И ПРИНАДЛЕЖНОСТИ ДЛЯ ОБОРУДОВАНИЯ, ПРОИЗВОДСТВА ""АРТРЕКС, ИНК."""
303,01.02.10.43.36.01,"ASCARIS LUMBRICOIDES АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН G (IGG) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","ASCARIS LUMBRICOIDES АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН G (IGG) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
304,01.02.10.43.37.02,"ASPERGILLUS FUMIGATUS АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН G (IGG) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","ASPERGILLUS FUMIGATUS АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН G (IGG) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
305,01.02.10.43.37.03,"ASPERGILLUS FUMIGATUS АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН M (IGM) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","ASPERGILLUS FUMIGATUS АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН M (IGM) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
306,01.02.10.43.37.04,"ASPERGILLUS FUMIGATUS АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН А (IGA) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)","ASPERGILLUS FUMIGATUS АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН А (IGA) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
307,01.02.10.43.37.05,"ASPERGILLUS FUMIGATUS ОБЩИЕ АНТИТЕЛА ИВД, КАЛИБРАТОР","ASPERGILLUS FUMIGATUS ОБЩИЕ АНТИТЕЛА ИВД, КАЛИБРАТОР"
310,01.02.10.43.37.01,"ASPERGILLUS FUMIGATUS ОБЩИЕ АНТИТЕЛА ИВД, НАБОР, РЕАКЦИЯ АГГЛЮТИНАЦИИ, ЭКСПРЕСС-АНАЛИЗ","ASPERGILLUS FUMIGATUS ОБЩИЕ АНТИТЕЛА ИВД, НАБОР, РЕАКЦИЯ АГГЛЮТИНАЦИИ, ЭКСПРЕСС-АНАЛИЗ"
311,01.02.10.05.17.02,КОМПЛЕКТЫ ДЛЯ МОНОПОЛЯРНОЙ РЕЗЕКЦИИ,"ПОСТАВКА ИНСТРУМЕНТОВ, СОВМЕСТИМЫХ С ОБОРУДОВАНИЕМ ПРОИЗВОДСТВА KARL STORZ, RICHARD WOLF, AESCULAP, ESCULAP, GIMMI"
312,01.02.10.43.48.01,"B-КЛЕТОЧНАЯ ЛИМФОМА ИВД, НАБОР, АНАЛИЗ НУКЛЕИНОВЫХ КИСЛОТ","B-КЛЕТОЧНАЯ ЛИМФОМА ИВД, НАБОР, АНАЛИЗ НУКЛЕИНОВЫХ КИСЛОТ"
317,01.02.10.43.01.144.13,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ГЕМОСТАЗА СЕРИИ ""BCS"", ПРОИЗВОДСТВА ""SIEMENS HEALTHCARE DIAGNOSTICS""",ПОСТАВКА РЕАГЕНТОВ И РАСХОДНЫХ МАТЕРИАЛОВ ДЛЯ АНАЛИЗАТОРОВ ЗАКРЫТОГО ТИПА
318,01.02.10.43.03.02,СРЕДЫ РАЗЛИЧНОГО НАЗНАЧЕНИЯ ДЛЯ МИКРОБИОЛОГИЧЕСКИХ ИССЛЕДОВАНИЙ,СРЕДЫ РАЗЛИЧНОГО НАЗНАЧЕНИЯ ДЛЯ МИКРОБИОЛОГИЧЕСКИХ ИССЛЕДОВАНИЙ
319,01.02.10.43.135.65,BCYE АГАР ДЛЯ LEGIONELLA SPP. ПИТАТЕЛЬНАЯ СРЕДА ИВД,BCYE АГАР ДЛЯ LEGIONELLA SPP. ПИТАТЕЛЬНАЯ СРЕДА ИВД
321,01.02.10.48.19.18,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ СИСТЕМЫ РЕГИСТРАЦИИ ОТОАКУСТИЧЕСКОЙ ЭМИССИИ (ОАЭ) ""OTOREAD""","РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ СИСТЕМЫ РЕГИСТРАЦИИ ОТОАКУСТИЧЕСКОЙ ЭМИССИИ (ОАЭ) ""OTOREAD"""
322,01.02.10.43.01.19,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""INTEGRA400""","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ""INTEGRA400"""
323,01.02.10.43.01.182.07,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ АВТОМАТИЧЕСКИХ БИОХИМИЧЕСКИХ ""ROCHE COBAS C 311""","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ АВТОМАТИЧЕСКИХ БИОХИМИЧЕСКИХ ""ROCHE COBAS C 311"""
