Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единица измерения,Unnamed: 8
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного стенда в рамках благоустройства территории,91742862.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного стенда в рамках благоустройства территории,91742862.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного стенда в рамках ремонтно-восстановительных работ на объектах благоустройства,91743183.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного указателя в рамках благоустройства территории,91742865.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного указателя в рамках ремонтно-восстановительных работ на объектах благоустройства,91741750.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж информационного щита в рамках обустройства объекта,160769413.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж таблички информационной в рамках благоустройства территории,91739694.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Демонтаж таблички информационной в рамках ремонтно-восстановительных работ на объектах благоустройства,91742508.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного стенда в рамках благоустройства территории,91740061.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного стенда в рамках ремонтно-восстановительных работ на объектах благоустройства,91740878.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного указателя в рамках благоустройства территории,91738446.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного указателя в рамках благоустройства территорий объектов спорта,60046096.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного указателя в рамках благоустройства территорий учреждений образования,59116761.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена информационного указателя в рамках ремонтно-восстановительных работ на объектах благоустройства,91739073.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена стенда информационного в рамках благоустройства территорий объектов спорта,60046193.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена стенда информационного в рамках благоустройства территорий учреждений образования,59116684.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена таблички информационной в рамках благоустройства территории,91740308.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Замена таблички информационной в рамках ремонтно-восстановительных работ на объектах благоустройства,91742591.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка информационного стенда в рамках благоустройства территории,91743433.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка информационного стенда в рамках ремонтно-восстановительных работ на объектах благоустройства,91739425.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка информационного указателя в рамках благоустройства территории,91740038.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка информационного указателя в рамках ремонтно-восстановительных работ на объектах благоустройства,91739426.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка таблички информационной в рамках благоустройства территории,91743862.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Установка таблички информационной в рамках ремонтно-восстановительных работ на объектах благоустройства,91743839.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного стенда в рамках компенсационного озеленения,70227527.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного стенда в рамках строительства велосипедной инфраструктуры,161167155.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного стенда на особо охраняемых природных территориях,10570504.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,"Устройство информационного стенда при благоустройстве парков, бульваров, скверов, зон отдыха и досуга",46323927.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука, штука
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного указателя в рамках благоустройства территорий объектов спорта,60046218.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного указателя в рамках благоустройства территорий учреждений образования,59116551.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного указателя в рамках компенсационного озеленения,70227599.0,02.04.04.03.01 ВОССТАНОВЛЕНИЕ ЗЕЛЕНЫХ НАСАЖДЕНИЙ В РАМКАХ КОМПЕНСАЦИОННОГО ОЗЕЛЕНЕНИЯ ТЕРРИТОРИЙ,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство информационного указателя при благоустройстве парков,77612528.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Штука, штука
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство стенда информационного в рамках благоустройства территорий объектов спорта,60046283.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Штука,
3.27-102-1,Установка металлических рамных опор для информационных щитов,1 т,1,Устройство стенда информационного в рамках благоустройства территорий учреждений образования,59116565.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Штука,
3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Замена ограждения в рамках благоустройства территории,91740075.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука",
3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Замена ограждения в рамках благоустройства территории,91740075.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука",
3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Замена ограждения в рамках ремонтно-восстановительных работ на объектах благоустройства,91742016.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,"Погонный метр,Штука",
3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Установка ограждения в рамках благоустройства территории,91740059.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,"Погонный метр,Штука",
3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Установка ограждения в рамках обустройства объекта,160769690.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр,
3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Установка ограждения в рамках ремонтно-восстановительных работ на объектах благоустройства,91741192.0,02.06.05.01 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ,"Погонный метр,Штука",
3.27-103-1,"Установка дорожных пешеходных ограждений высотой 1 м, шаг стоек 2 м, из оцинкованных трубчатых профилей",100 м,1,Устройство ограждения защитного в рамках строительства велосипедной инфраструктуры,161165484.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Погонный метр,
3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение дорожной разметки при благоустройстве парков,46323913.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр, квадратный метр
3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение разметки в рамках благоустройства территории,91741694.0,02.03.03.07 ОБУСТРОЙСТВО ТЕРРИТОРИЙ СРЕДСТВАМИ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ,Погонный метр,
3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение разметки в рамках обустройства объекта,160769895.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр,
3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Нанесение разметки в рамках ремонтно-восстановительных работ на объектах благоустройства,91740514.0,02.06.05.02 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ СРЕДСТВ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ ТЕРРИТОРИЙ,Погонный метр,
3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Устройство дорожной разметки в рамках благоустройства территорий объектов спорта,60046216.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр,
3.27-105-1,"Нанесение линий обозначения вертикальной дорожной разметки на ограждения дорог и возвышающиеся островки безопасности, бордюр на опасных участках",1 м2,1,Устройство дорожной разметки в рамках благоустройства территорий учреждений образования,59116550.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Квадратный метр,
3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение дорожной разметки при благоустройстве парков,46323913.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр, квадратный метр
3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение разметки в рамках благоустройства территории,91741694.0,02.03.03.07 ОБУСТРОЙСТВО ТЕРРИТОРИЙ СРЕДСТВАМИ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ,Погонный метр,
3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение разметки в рамках обустройства объекта,160769895.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр,
3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Нанесение разметки в рамках ремонтно-восстановительных работ на объектах благоустройства,91740514.0,02.06.05.02 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ СРЕДСТВ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ ТЕРРИТОРИЙ,Погонный метр,
3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Устройство дорожной разметки в рамках благоустройства территорий объектов спорта,60046216.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр,
3.27-105-2,"Нанесение линий обозначения вертикальной дорожной разметки на сооружения дорог (круглые тумбы на островках безопасности, сигнальные столбики, надолбы, опоры тросовых ограждений и т.п.)",1 м2,1,Устройство дорожной разметки в рамках благоустройства территорий учреждений образования,59116550.0,02.03.11 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ УЧРЕЖДЕНИЙ ОБРАЗОВАНИЯ,Квадратный метр,
3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение дорожной разметки в рамках строительства велосипедной инфраструктуры,161166014.0,02.03.02.02.02.04 РАБОТЫ ПО УСТРОЙСТВУ ВЕЛОСИПЕДНОЙ ИНФРАСТРУКТУРЫ,Квадратный метр,
3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение дорожной разметки при благоустройстве парков,46323913.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр, квадратный метр
3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение разметки в рамках благоустройства территории,91741694.0,02.03.03.07 ОБУСТРОЙСТВО ТЕРРИТОРИЙ СРЕДСТВАМИ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ,Погонный метр,
3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение разметки в рамках обустройства объекта,160769895.0,02.03.09 УСТРОЙСТВО ПЛОСКОСТНЫХ ПАРКОВОК И СПЕЦИАЛИЗИРОВАННЫХ СТОЯНОК,Квадратный метр,
3.27-105-3,"Нанесение линий обозначения вертикальной дорожной разметки на нижний край пролетного строения путепроводов, мостов, тоннелей",1 м2,1,Нанесение разметки в рамках ремонтно-восстановительных работ на объектах благоустройства,91740514.0,02.06.05.02 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ СРЕДСТВ ОБЕСПЕЧЕНИЯ ТРАНСПОРТНОЙ БЕЗОПАСНОСТИ ТЕРРИТОРИЙ,Погонный метр,
